@relation 1.0_0.7355510517855894_14309_14309_reads
@attribute domain real
@attribute previousDelay real
@attribute previousLon real
@attribute previousLat real
@attribute previousNextStopDistance real
@attribute previousSpeed real
@attribute time real
@attribute delay real
@attribute lon real
@attribute lat real
@attribute nearestStopLon real
@attribute nearestStopLat real
@attribute nextStopDistance real
@attribute speed real
@attribute class {0.0,1.0}
@data
0.0,16.0,20.985676,52.269505,137.88025317060428,1.17,505.0,-21.0,20.997583,52.254066,20.997242,52.253783,39.10277863757205,8.74,1.0
0.0,16.0,20.985676,52.269505,137.88025317060428,0.0,513.0,-68.0,20.997591,52.253792,20.997242,52.253783,185.0024188632056,7.02,1.0
0.0,16.0,20.985744,52.269295,114.21263123757508,3.4,536.0,-68.0,20.997097,52.253746,20.997242,52.253783,152.00808409168977,1.48,1.0
0.0,16.0,20.985744,52.269295,114.21263123757508,3.4,544.0,-68.0,20.996834,52.253719,20.997242,52.253783,134.69295135387725,2.27,1.0
0.0,16.0,20.985857,52.268452,31.3292092518062,5.88,552.0,-60.0,20.995974,52.25367,20.99488,52.25391,79.105594255775,7.35,1.0
0.0,16.0,20.985857,52.268452,31.3292092518062,5.88,559.0,-22.0,20.995133,52.253791,20.99488,52.25391,348.666189118165,8.4,1.0
0.0,40.0,20.986357,52.268303,519.8191634196752,3.72,568.0,-68.0,20.993921,52.254032,20.99488,52.25391,284.22088194721016,9.09,1.0
0.0,40.0,20.987782,52.267193,364.9186636928756,8.38,585.0,-22.0,20.991907,52.253468,20.99029,52.25277,134.68261567218806,8.87,1.0
0.0,40.0,20.988369,52.266537,281.79900335681054,10.4,593.0,-68.0,20.990934,52.253105,20.99029,52.25277,57.52675883854384,9.7,1.0
0.0,40.0,20.989416,52.26535,131.96741245090365,10.14,609.0,-32.0,20.990336,52.252758,20.99029,52.25277,435.5495902323527,3.51,1.0
0.0,40.0,20.989857,52.264771,60.94019771958123,8.88,619.0,-32.0,20.9897,52.252453,20.99029,52.25277,381.3733079997081,5.5,1.0
