@relation 1.0_0.7327037425673313_14295_14295_reads
@attribute domain real
@attribute time real
@attribute delay real
@attribute lon real
@attribute lat real
@attribute nearestStopLon real
@attribute nearestStopLat real
@attribute nextStopDistance real
@attribute speed real
@attribute class {0.0,1.0}
@data
0.0,814.0,-21.0,20.997583,52.254066,20.997242,52.253783,39.10277863757205,8.74,1.0
0.0,822.0,-68.0,20.997591,52.253792,20.997242,52.253783,185.0024188632056,7.02,1.0
0.0,845.0,-68.0,20.997097,52.253746,20.997242,52.253783,152.00808409168977,1.48,1.0
0.0,853.0,-68.0,20.996834,52.253719,20.997242,52.253783,134.69295135387725,2.27,1.0
0.0,861.0,-60.0,20.995974,52.25367,20.99488,52.25391,79.105594255775,7.35,1.0
0.0,868.0,-22.0,20.995133,52.253791,20.99488,52.25391,348.666189118165,8.4,1.0
0.0,877.0,-68.0,20.993921,52.254032,20.99488,52.25391,284.22088194721016,9.09,1.0
0.0,894.0,-22.0,20.991907,52.253468,20.99029,52.25277,134.68261567218806,8.87,1.0
0.0,902.0,-68.0,20.990934,52.253105,20.99029,52.25277,57.52675883854384,9.7,1.0
0.0,918.0,-32.0,20.990336,52.252758,20.99029,52.25277,435.5495902323527,3.51,1.0
0.0,928.0,-32.0,20.9897,52.252453,20.99029,52.25277,381.3733079997081,5.5,1.0
0.0,944.0,-32.0,20.987844,52.251789,20.99029,52.25277,235.325724950398,9.15,1.0
0.0,952.0,-32.0,20.986914,52.251484,20.98473,52.25087,163.59985476555065,8.98,1.0
0.0,965.0,-32.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,4.79,1.0
0.0,988.0,-32.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,996.0,-32.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1013.0,-32.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1034.0,-32.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1052.0,-18.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1059.0,-11.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1067.0,-3.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1089.0,19.0,20.986051,52.2512,20.98473,52.25087,97.12406115323252,0.2,1.0
0.0,1106.0,36.0,20.986095,52.251194,20.98473,52.25087,99.66061205699064,0.18,1.0
0.0,1114.0,44.0,20.986095,52.251194,20.98473,52.25087,99.66061205699064,0.0,1.0
0.0,1137.0,67.0,20.986095,52.251194,20.98473,52.25087,99.66061205699064,0.0,1.0
0.0,1137.0,67.0,20.986111,52.251217,20.98473,52.25087,101.62014144062208,0.0,1.0
0.0,1154.0,84.0,20.986067,52.251198,20.98473,52.25087,98.05044177669583,0.22,1.0
0.0,1154.0,84.0,20.986095,52.251194,20.98473,52.25087,99.66061205699064,0.0,1.0
0.0,1162.0,92.0,20.985546,52.251057,20.98473,52.25087,59.31263355862341,4.85,1.0
0.0,1180.0,110.0,20.984699,52.25082,20.98473,52.25087,391.67724207420207,3.52,1.0
0.0,1187.0,117.0,20.984701,52.250813,20.98473,52.25087,390.91020689164736,2.54,1.0
0.0,1201.0,110.0,20.983297,52.250519,20.98473,52.25087,363.74853564713095,4.82,1.0
0.0,1208.0,117.0,20.982357,52.250328,20.98473,52.25087,361.1527939773992,9.63,1.0
0.0,1224.0,110.0,20.982546,52.249519,20.98473,52.25087,273.5457523570557,5.68,1.0
0.0,1240.0,117.0,20.983728,52.248013,20.984301,52.247306,87.76111814100388,11.61,1.0
0.0,1252.0,122.0,20.98423,52.247356,20.984301,52.247306,234.24882054750287,6.72,1.0
0.0,1303.0,122.0,20.985434,52.245914,20.985763,52.24547,54.21407697022703,3.53,1.0
0.0,1316.0,126.0,20.985724,52.245552,20.985763,52.24547,417.0702673093972,3.51,1.0
0.0,1325.0,126.0,20.985802,52.245449,20.985763,52.24547,404.4697556802524,1.4,1.0
0.0,1356.0,126.0,20.987383,52.24305,20.98796,52.24206,116.8831119989785,9.28,1.0
0.0,1369.0,119.0,20.987888,52.242268,20.98796,52.24206,344.5592525239905,7.19,1.0
0.0,1376.0,119.0,20.988054,52.242081,20.98796,52.24206,324.9808910893077,3.38,1.0
0.0,1394.0,119.0,20.988192,52.241955,20.98796,52.24206,312.37694561554923,0.94,1.0
0.0,1407.0,119.0,20.987665,52.241562,20.98796,52.24206,265.2514484621552,2.05,1.0
0.0,1411.0,119.0,20.987129,52.241394,20.98796,52.24206,247.5068197760665,10.25,1.0
0.0,1430.0,119.0,20.986473,52.240509,20.987488,52.239179,163.2414023460351,5.69,1.0
0.0,1434.0,119.0,20.98671,52.240204,20.987488,52.239179,125.68455238581888,9.39,1.0
0.0,1451.0,81.0,20.987549,52.23917,20.987488,52.239179,298.9133496798641,7.55,1.0
0.0,1455.0,81.0,20.98757,52.239136,20.987488,52.239179,294.8778033287762,1.01,1.0
0.0,1482.0,81.0,20.987907,52.238686,20.987488,52.239179,239.83365445844416,1.91,1.0
0.0,1504.0,81.0,20.98802,52.238682,20.987488,52.239179,236.41749538277284,0.35,1.0
0.0,1511.0,81.0,20.988184,52.238434,20.987488,52.239179,206.6658971128313,4.25,1.0
0.0,1519.0,89.0,20.988649,52.237804,20.98933,52.236713,129.87468003027297,9.61,1.0
0.0,1527.0,97.0,20.989206,52.237045,20.98933,52.236713,37.87007454559128,11.57,1.0
